"","Locality","Townland","Town"
"162",NA,"LITTLE DERRY","LIMAVADY"
"163",NA,"BOVALLY","LIMAVADY"
"164",NA,"LECK","LIMAVADY"
"165",NA,"BOVALLY","LIMAVADY"
"166",NA,"BOVALLY","LIMAVADY"
"167",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"168",NA,"ENAGH","LIMAVADY"
"169",NA,"BOVALLY","LIMAVADY"
"170",NA,"CARRAN","LIMAVADY"
"171",NA,"BOVALLY","LIMAVADY"
"172",NA,"BOVALLY","LIMAVADY"
"173",NA,"ARDGARVAN","LIMAVADY"
"174",NA,"GORTGARN","LIMAVADY"
"175",NA,"ENAGH","LIMAVADY"
"176",NA,"MAINE SOUTH","LIMAVADY"
"177",NA,"DRUMSURN LOWER","LIMAVADY"
"178",NA,"TEMPLEMOYLE","LIMAVADY"
"179",NA,"BALLYQUIN","LIMAVADY"
"180",NA,"CLOGHAN","LIMAVADY"
"181",NA,"DRUMSURN UPPER","LIMAVADY"
"182",NA,"COOLESSAN","LIMAVADY"
"183",NA,"BOVALLY","LIMAVADY"
"184",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"185",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"186",NA,"LOWER DOAGHS","LIMAVADY"
"187",NA,"BOLEA","LIMAVADY"
"188",NA,"GORTMORE","LIMAVADY"
"189",NA,"MARGYMONAGHAN","LIMAVADY"
"190",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"191",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"192",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"193",NA,"RATHBRADY MORE","LIMAVADY"
"194",NA,"RATHBRADY MORE","LIMAVADY"
"195",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"196",NA,"RATHBRADY MORE","LIMAVADY"
"197",NA,"BOVALLY","LIMAVADY"
"198",NA,"COOLESSAN","LIMAVADY"
"199",NA,"BALLYHENRY WEST","LIMAVADY"
"200",NA,"BOVALLY","LIMAVADY"
"201",NA,"COOLESSAN","LIMAVADY"
"202",NA,"WALWORTH","LIMAVADY"
"203","BOVALLY","BOVALLY","LIMAVADY"
"204",NA,"SOUTH TERRYDOO WALKER","LIMAVADY"
"205",NA,"CARRAN","LIMAVADY"
"206",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"207",NA,"TEMPLEMOYLE","LIMAVADY"
"208",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"209",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"210",NA,"DRUMSURN LOWER","LIMAVADY"
"211",NA,"BOVALLY","LIMAVADY"
"212",NA,"BROHARRIS","LIMAVADY"
"213",NA,"MARGYMONAGHAN","LIMAVADY"
