"","Locality","Townland","Town"
"1434",NA,"DEER PARK","LIMAVADY"
"1435",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1436",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1437",NA,"FARLOW","LIMAVADY"
"1438",NA,"RATHBRADY MORE","LIMAVADY"
"1439",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1440",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1441",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1442",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1443",NA,"CARRAN","LIMAVADY"
"1444",NA,"ENAGH","LIMAVADY"
"1445",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1446",NA,"ENAGH","LIMAVADY"
"1447",NA,"RATHBRADY MORE","LIMAVADY"
"1448",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1449",NA,"ENAGH","LIMAVADY"
"1450",NA,"RATHBRADY MORE","LIMAVADY"
"1451",NA,"RATHBRADY MORE","LIMAVADY"
"1452",NA,"RATHBRADY MORE","LIMAVADY"
"1453",NA,"COOLESSAN","LIMAVADY"
"1454",NA,"ENAGH","LIMAVADY"
"1455",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1456",NA,"ENAGH","LIMAVADY"
"1457",NA,"DROMORE","LIMAVADY"
"1458",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1459",NA,"DEER PARK","LIMAVADY"
"1460",NA,"ENAGH","LIMAVADY"
"1461",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1462",NA,"RATHBRADY MORE","LIMAVADY"
"1463",NA,"CARRAN","LIMAVADY"
"1464",NA,"ENAGH","LIMAVADY"
"1465",NA,"COOLESSAN","LIMAVADY"
"1466",NA,"ENAGH","LIMAVADY"
"1467",NA,"ENAGH","LIMAVADY"
"1468",NA,"RATHBRADY MORE","LIMAVADY"
"1469",NA,"COOLESSAN","LIMAVADY"
"1470",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1471",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1472",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1473",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1474",NA,"RATHBRADY MORE","LIMAVADY"
"1475",NA,"RATHBRADY MORE","LIMAVADY"
"1476",NA,"BOVALLY","LIMAVADY"
"1477",NA,"BALLYMORE","LIMAVADY"
"1478",NA,"BOVALLY","LIMAVADY"
"1479",NA,"CARRAN","LIMAVADY"
"1480",NA,"LISLANE","LIMAVADY"
"1481",NA,"ENAGH","LIMAVADY"
"1482",NA,"CARRAN","LIMAVADY"
"1483",NA,"ENAGH","LIMAVADY"
"1484",NA,"LEEKE","LIMAVADY"
"1485",NA,"DRUMSURN UPPER","LIMAVADY"
"1486",NA,"GLACK","LIMAVADY"
"1487",NA,"DRUMSURN UPPER","LIMAVADY"
"1488",NA,"BOVALLY","LIMAVADY"
"1489",NA,"DRUMSURN LOWER","LIMAVADY"
"1490","AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY"
"1491",NA,"BALLYDARROG","LIMAVADY"
"1492",NA,"ARDMORE","LIMAVADY"
"1493",NA,"COOLESSAN","LIMAVADY"
"1494",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1495",NA,"GLEBE","LIMAVADY"
"1496",NA,"RATHBRADY MORE","LIMAVADY"
"1497",NA,"ENAGH","LIMAVADY"
"1498",NA,"ENAGH","LIMAVADY"
"1499",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1500",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1501",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1502",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1503",NA,"BALLYAVELIN","LIMAVADY"
"1504",NA,"BOVALLY","LIMAVADY"
"1505",NA,"KILHOYLE","LIMAVADY"
"1506",NA,"BOVALLY","LIMAVADY"
"1507",NA,"ENAGH","LIMAVADY"
"1508",NA,"BALLYCASTLE","LIMAVADY"
"1509",NA,"DRUMAVALLY","LIMAVADY"
"1510",NA,"CARRAN","LIMAVADY"
"1511",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1512",NA,"CARRICK","LIMAVADY"
"1513",NA,"TERRYDREMONT NORTH","LIMAVADY"
"1514",NA,"LITTLE DERRY","LIMAVADY"
"1515",NA,"LECK","LIMAVADY"
"1516",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1517",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1518",NA,"CLAGAN","LIMAVADY"
"1519",NA,"ENAGH","LIMAVADY"
"1520",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1521",NA,"CARRAN","LIMAVADY"
"1522",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1523",NA,"RATHBRADY MORE","LIMAVADY"
"1524",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1525",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1526",NA,"COOLESSAN","LIMAVADY"
"1527",NA,"BOVALLY","LIMAVADY"
"1528",NA,"ENAGH","LIMAVADY"
"1529",NA,"MARGYMONAGHAN","LIMAVADY"
"1530",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1531",NA,"BOVALLY","LIMAVADY"
"1532",NA,"BOVALLY","LIMAVADY"
"1533",NA,"GLEBE","LIMAVADY"
"1534",NA,"DRUMRAMER","LIMAVADY"
"1535",NA,"KILLANE","LIMAVADY"
"1536",NA,"AUGHIL","LIMAVADY"
"1537",NA,"ENAGH","LIMAVADY"
"1538","AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY"
"1539",NA,"ENAGH","LIMAVADY"
"1540",NA,"BOVALLY","LIMAVADY"
"1541",NA,"ARDGARVAN","LIMAVADY"
"1542",NA,"COOLESSAN","LIMAVADY"
"1543","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1544",NA,"ENAGH","LIMAVADY"
"1545",NA,"ENAGH","LIMAVADY"
"1546",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1547",NA,"CLOGHAN","LIMAVADY"
"1548",NA,"CRAIG","LIMAVADY"
"1549",NA,"DRUMAVALLY","LIMAVADY"
"1550",NA,"OUGHTYMOYLE","LIMAVADY"
"1551",NA,"DRUMAVALLY","LIMAVADY"
"1552",NA,"LOMOND","LIMAVADY"
"1553","FRUITHILL","DOWLAND","LIMAVADY"
"1554",NA,"KILLYBREADY","LIMAVADY"
"1555",NA,"GLACK","LIMAVADY"
"1556",NA,"KILLANE","LIMAVADY"
"1557",NA,"COOLESSAN","LIMAVADY"
"1558",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1559",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1560",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1561",NA,"RATHBRADY MORE","LIMAVADY"
"1562",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1563",NA,"CARRAN","LIMAVADY"
"1564",NA,"TAMLAGHT","LIMAVADY"
"1565",NA,"BOVALLY","LIMAVADY"
"1566",NA,"CARRAN","LIMAVADY"
"1567",NA,"COOLESSAN","LIMAVADY"
"1568",NA,"RATHBRADY MORE","LIMAVADY"
"1569",NA,"RATHBRADY MORE","LIMAVADY"
"1570",NA,"ENAGH","LIMAVADY"
"1571",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1572",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1573",NA,"ENAGH","LIMAVADY"
"1574",NA,"CARRAN","LIMAVADY"
"1575",NA,"RATHBRADY MORE","LIMAVADY"
"1576",NA,"BOVALLY","LIMAVADY"
"1577",NA,"COOLESSAN","LIMAVADY"
"1578",NA,"DROMORE","LIMAVADY"
"1579",NA,"GLEBE","LIMAVADY"
"1580",NA,"ENAGH","LIMAVADY"
"1581",NA,"BOVALLY","LIMAVADY"
"1582",NA,"BOVALLY","LIMAVADY"
"1583",NA,"RATHBRADY MORE","LIMAVADY"
"1584",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1585",NA,"ENAGH","LIMAVADY"
"1586",NA,"RATHBRADY MORE","LIMAVADY"
"1587",NA,"ENAGH","LIMAVADY"
"1588",NA,"BOVALLY","LIMAVADY"
"1589",NA,"AGHANSILLAGH","LIMAVADY"
"1590","BOVALLY","BOVALLY","LIMAVADY"
"1591",NA,"ENAGH","LIMAVADY"
"1592",NA,"BALLYLEAGRY","LIMAVADY"
"1593",NA,"BOVALLY","LIMAVADY"
"1594",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1595",NA,"ARDGARVAN","LIMAVADY"
"1596",NA,"LISLANE","LIMAVADY"
"1597",NA,"LARGY","LIMAVADY"
"1598",NA,"ENAGH","LIMAVADY"
"1599",NA,"BOVALLY","LIMAVADY"
"1600",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1601",NA,"ENAGH","LIMAVADY"
"1602",NA,"BOVALLY","LIMAVADY"
"1603",NA,"ENAGH","LIMAVADY"
"1604",NA,"CARRAN","LIMAVADY"
"1605",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1606",NA,"LARGY","LIMAVADY"
"1607",NA,"BOVALLY","LIMAVADY"
"1608",NA,"GLEBE","LIMAVADY"
"1609",NA,"CARRAN","LIMAVADY"
"1610",NA,"BOVALLY","LIMAVADY"
"1611",NA,"BOVALLY","LIMAVADY"
"1612",NA,"MULKEERAGH","LIMAVADY"
"1613",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1614","FRUITHILL","GORTNAMONEY","LIMAVADY"
"1615",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1616",NA,"ENAGH","LIMAVADY"
"1617",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1618",NA,"RATHBRADY MORE","LIMAVADY"
"1619",NA,"RATHBRADY MORE","LIMAVADY"
"1620",NA,"DRUMAVALLY","LIMAVADY"
"1621",NA,"BALLYDARROG","LIMAVADY"
"1622",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1623",NA,"RATHBRADY MORE","LIMAVADY"
"1624",NA,"DRUMRAMER","LIMAVADY"
"1625",NA,"CARRYDOO","LIMAVADY"
"1626",NA,"COOLESSAN","LIMAVADY"
"1627",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1628",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1629",NA,"TERRYDOO CLYDE","LIMAVADY"
"1630",NA,"LARGYREAGH","LIMAVADY"
"1631",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1632",NA,"RATHBRADY MORE","LIMAVADY"
"1633",NA,"BALLYCARTON","LIMAVADY"
"1634",NA,"COOLESSAN","LIMAVADY"
"1635",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1636",NA,"CARRAN","LIMAVADY"
"1637",NA,"DRUMSURN UPPER","LIMAVADY"
"1638",NA,"BOVALLY","LIMAVADY"
"1639",NA,"COOLESSAN","LIMAVADY"
"1640",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1641",NA,"TERRYDREMONT SOUTH","LIMAVADY"
"1642",NA,"RATHBRADY MORE","LIMAVADY"
"1643",NA,"DRUMMANS UPPER","LIMAVADY"
"1644",NA,"RATHBRADY MORE","LIMAVADY"
"1645","FRUITHILL","DOWLAND","LIMAVADY"
"1646",NA,"COOLESSAN","LIMAVADY"
"1647",NA,"RATHBRADY MORE","LIMAVADY"
"1648","BOVALLY","BOVALLY","LIMAVADY"
"1649",NA,"KILLANE","LIMAVADY"
"1650",NA,"GRANNAGH","LIMAVADY"
"1651",NA,"DEER PARK","LIMAVADY"
"1652",NA,"BOVALLY","LIMAVADY"
"1653",NA,"BOVALLY","LIMAVADY"
"1654",NA,"BOVALLY","LIMAVADY"
"1655",NA,"BOVALLY","LIMAVADY"
"1656",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1657",NA,"WALWORTH","LIMAVADY"
"1658","AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY"
"1659","AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY"
"1660",NA,"COOLESSAN","LIMAVADY"
"1661",NA,"RATHBRADY MORE","LIMAVADY"
"1662",NA,"RATHBRADY MORE","LIMAVADY"
"1663",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1664",NA,"BROGLASCO","LIMAVADY"
"1665",NA,"LISNAKILLY","LIMAVADY"
"1666","FRUITHILL","DOWLAND","LIMAVADY"
"1667",NA,"CARRAN","LIMAVADY"
"1668",NA,"COOLESSAN","LIMAVADY"
"1669",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1670",NA,"ENAGH","LIMAVADY"
"1671",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1672",NA,"DRUMSURN LOWER","LIMAVADY"
"1673",NA,"BOVALLY","LIMAVADY"
"1674",NA,"DRUMAVALLY","LIMAVADY"
"1675",NA,"DRUMAVALLY","LIMAVADY"
"1676",NA,"LOWER BALLYLEIGHERY","LIMAVADY"
"1677","FRUITHILL","DOWLAND","LIMAVADY"
"1678",NA,"LISNAGRIB","LIMAVADY"
"1679",NA,"BROIGHTER","LIMAVADY"
"1680",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1681",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1682",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1683",NA,"ENAGH","LIMAVADY"
"1684",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1685",NA,"KILLANE","LIMAVADY"
"1686",NA,"COOLESSAN","LIMAVADY"
"1687",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1688",NA,"RATHBRADY MORE","LIMAVADY"
"1689",NA,"COOLESSAN","LIMAVADY"
"1690",NA,"COOLESSAN","LIMAVADY"
"1691",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1692",NA,"RATHBRADY MORE","LIMAVADY"
"1693",NA,"RATHBRADY MORE","LIMAVADY"
"1694",NA,"RATHBRADY MORE","LIMAVADY"
"1695",NA,"RATHBRADY MORE","LIMAVADY"
"1696",NA,"ENAGH","LIMAVADY"
"1697",NA,"RATHBRADY MORE","LIMAVADY"
"1698",NA,"CARRAN","LIMAVADY"
"1699",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1700",NA,"BOVALLY","LIMAVADY"
"1701",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1702",NA,"RATHBRADY MORE","LIMAVADY"
"1703",NA,"RATHBRADY MORE","LIMAVADY"
"1704",NA,"CARRAN","LIMAVADY"
"1705",NA,"BROGLASCO","LIMAVADY"
"1706",NA,"KILLANE","LIMAVADY"
"1707",NA,"DEER PARK","LIMAVADY"
"1708",NA,"TERRYDREMONT NORTH","LIMAVADY"
"1709",NA,"ENAGH","LIMAVADY"
"1710",NA,"ENAGH","LIMAVADY"
"1711",NA,"ARDGARVAN","LIMAVADY"
"1712",NA,"RATHBRADY MORE","LIMAVADY"
"1713",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1714",NA,"ENAGH","LIMAVADY"
"1715",NA,"BOVALLY","LIMAVADY"
"1716",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1717",NA,"RATHBRADY MORE","LIMAVADY"
"1718",NA,"ENAGH","LIMAVADY"
"1719",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1720",NA,"ENAGH","LIMAVADY"
"1721",NA,"ENAGH","LIMAVADY"
"1722",NA,"BOVALLY","LIMAVADY"
"1723",NA,"BOVALLY","LIMAVADY"
"1724",NA,"ENAGH","LIMAVADY"
"1725",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1726",NA,"BALLYRISK MORE","LIMAVADY"
"1727","AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY"
"1728",NA,"RATHBRADY MORE","LIMAVADY"
"1729",NA,"BOVALLY","LIMAVADY"
"1730",NA,"BALLYDARROG","LIMAVADY"
"1731",NA,"BOVALLY","LIMAVADY"
"1732",NA,"AGHANSILLAGH","LIMAVADY"
"1733",NA,"ARDGARVAN","LIMAVADY"
"1734",NA,"BOVALLY","LIMAVADY"
"1735",NA,"BALLYMACLARY","LIMAVADY"
"1736",NA,"DRUMGAVENNY UPPER","LIMAVADY"
"1737",NA,"DRUMADREEN","LIMAVADY"
"1738",NA,"BALLYDARROG","LIMAVADY"
"1739",NA,"BOVALLY","LIMAVADY"
"1740",NA,"BOVALLY","LIMAVADY"
"1741",NA,"DRUMAVALLY","LIMAVADY"
"1742",NA,"KILLANE","LIMAVADY"
"1743",NA,"KILLANE","LIMAVADY"
"1744",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1745",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1746",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1747",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1748",NA,"BOVALLY","LIMAVADY"
"1749",NA,"RATHBRADY MORE","LIMAVADY"
"1750",NA,"SOUTH TERRYDOO WALKER","LIMAVADY"
"1751",NA,"DUNCRUN","LIMAVADY"
"1752",NA,"FARLOW","LIMAVADY"
"1753",NA,"BOVALLY","LIMAVADY"
"1754",NA,"ARDMORE","LIMAVADY"
"1755",NA,"ENAGH","LIMAVADY"
"1756",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1757",NA,"DRUMSURN UPPER","LIMAVADY"
"1758",NA,"BOVALLY","LIMAVADY"
"1759",NA,"KILLANE","LIMAVADY"
"1760",NA,"ARDNARGLE","LIMAVADY"
"1761",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1762",NA,"RATHBRADY MORE","LIMAVADY"
"1763","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1764",NA,"RATHBRADY MORE","LIMAVADY"
"1765",NA,"BOVALLY","LIMAVADY"
"1766",NA,"BOVALLY","LIMAVADY"
"1767",NA,"BOVALLY","LIMAVADY"
"1768",NA,"BOVALLY","LIMAVADY"
"1769",NA,"RATHBRADY MORE","LIMAVADY"
"1770",NA,"RATHBRADY MORE","LIMAVADY"
"1771",NA,"BOVALLY","LIMAVADY"
"1772",NA,"ENAGH","LIMAVADY"
"1773","AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY"
"1774",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1775",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1776",NA,"CARRAN","LIMAVADY"
"1777",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1778",NA,"ENAGH","LIMAVADY"
"1779",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1780",NA,"ENAGH","LIMAVADY"
"1781",NA,"GLACK","LIMAVADY"
"1782",NA,"MILL TOWN","LIMAVADY"
"1783",NA,"GLACK","LIMAVADY"
"1784",NA,"RATHBRADY MORE","LIMAVADY"
"1785",NA,"BOVALLY","LIMAVADY"
"1786",NA,"ENAGH","LIMAVADY"
"1787",NA,"COOLESSAN","LIMAVADY"
"1788",NA,"DRUMSURN LOWER","LIMAVADY"
"1789","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1790",NA,"LEEKE","LIMAVADY"
"1791",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1792",NA,"BOVALLY","LIMAVADY"
"1793",NA,"KILLANE","LIMAVADY"
"1794",NA,"TIRCREVEN","LIMAVADY"
"1795",NA,"AUGHIL","LIMAVADY"
"1796",NA,"CRAIG","LIMAVADY"
"1797",NA,"DRUMMANS UPPER","LIMAVADY"
"1798",NA,"DRUMAVALLY","LIMAVADY"
"1799",NA,"BALLYMULHOLLAND","LIMAVADY"
"1800",NA,"MARGYMONAGHAN","LIMAVADY"
"1801",NA,"CORNDALE UPPER","LIMAVADY"
"1802",NA,"CRINDLE","LIMAVADY"
"1803",NA,"GORTNAMONEY","LIMAVADY"
"1804",NA,"MULLANE","LIMAVADY"
"1805",NA,"BALLYMACRAN","LIMAVADY"
"1806",NA,"GORTNAMONEY","LIMAVADY"
"1807",NA,"CARROWREAGH","LIMAVADY"
"1808",NA,"GLACK","LIMAVADY"
"1809",NA,"GLACK","LIMAVADY"
"1810",NA,"COOLESSAN","LIMAVADY"
"1811",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1812",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1813",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1814",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1815",NA,"ENAGH","LIMAVADY"
"1816",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1817",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1818",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1819",NA,"RATHBRADY MORE","LIMAVADY"
"1820",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1821",NA,"ENAGH","LIMAVADY"
"1822",NA,"BOVALLY","LIMAVADY"
"1823",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1824",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1825",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1826",NA,"CULMORE UPPER","LIMAVADY"
"1827",NA,"CARRAN","LIMAVADY"
"1828",NA,"ENAGH","LIMAVADY"
"1829",NA,"KILLANE","LIMAVADY"
"1830",NA,"RATHBRADY MORE","LIMAVADY"
"1831",NA,"BOVALLY","LIMAVADY"
"1832",NA,"COOLESSAN","LIMAVADY"
"1833",NA,"ENAGH","LIMAVADY"
"1834",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1835",NA,"COOLESSAN","LIMAVADY"
"1836",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1837",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1838",NA,"COOLESSAN","LIMAVADY"
"1839",NA,"LARGY","LIMAVADY"
"1840",NA,"ARDGARVAN","LIMAVADY"
"1841",NA,"BOVALLY","LIMAVADY"
"1842",NA,"RATHBRADY MORE","LIMAVADY"
"1843",NA,"RATHBRADY MORE","LIMAVADY"
"1844",NA,"ENAGH","LIMAVADY"
"1845",NA,"SOUTH TERRYDOO WALKER","LIMAVADY"
"1846",NA,"ENAGH","LIMAVADY"
"1847",NA,"COOLESSAN","LIMAVADY"
"1848",NA,"ENAGH","LIMAVADY"
"1849",NA,"ENAGH","LIMAVADY"
"1850",NA,"RATHBRADY MORE","LIMAVADY"
"1851",NA,"BROHARRIS","LIMAVADY"
"1852",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1853",NA,"BOVALLY","LIMAVADY"
"1854",NA,"BOVALLY","LIMAVADY"
"1855",NA,"CARRAN","LIMAVADY"
"1856",NA,"BOVALLY","LIMAVADY"
"1857",NA,"RATHBRADY MORE","LIMAVADY"
"1858",NA,"DRUMSURN UPPER","LIMAVADY"
"1859",NA,"DRUMSURN LOWER","LIMAVADY"
"1860",NA,"GLEBE","LIMAVADY"
"1861",NA,"TERRYDREMONT SOUTH","LIMAVADY"
"1862",NA,"RATHBRADY MORE","LIMAVADY"
"1863",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1864",NA,"LEEKE","LIMAVADY"
"1865",NA,"COOLESSAN","LIMAVADY"
"1866",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1867",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1868",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1869",NA,"RATHBRADY MORE","LIMAVADY"
"1870","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1871",NA,"BOVALLY","LIMAVADY"
"1872",NA,"BOVALLY","LIMAVADY"
"1873",NA,"BOVALLY","LIMAVADY"
"1874",NA,"BOVALLY","LIMAVADY"
"1875",NA,"BOVALLY","LIMAVADY"
"1876","AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY"
"1877",NA,"CARROWCLARE","LIMAVADY"
"1878",NA,"COOLESSAN","LIMAVADY"
"1879",NA,"ENAGH","LIMAVADY"
"1880",NA,"RATHBRADY MORE","LIMAVADY"
"1881",NA,"LOMOND","LIMAVADY"
"1882",NA,"BOVALLY","LIMAVADY"
"1883",NA,"DUNCRUN","LIMAVADY"
"1884","BALLYSCULLION","DUNCRUN","LIMAVADY"
"1885",NA,"LENAMORE","LIMAVADY"
"1886",NA,"RATHBRADY MORE","LIMAVADY"
"1887",NA,"CARROWCLARE","LIMAVADY"
"1888",NA,"BALLYNAHERY","LIMAVADY"
"1889",NA,"BOVALLY","LIMAVADY"
"1890",NA,"KILLANE","LIMAVADY"
"1891",NA,"ENAGH","LIMAVADY"
"1892",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1893",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"1894",NA,"RATHBRADY MORE","LIMAVADY"
